benchmark,dataset_key,preset,threshold,policy_mode,agent,agent_display,original_total,original_resolved,original_resolve_rate_pct,adjusted_resolved,adjusted_resolve_rate_pct,resolve_change_pp,false_negatives,true_negatives,false_positives,true_positives,decided_failure,decided_success,undecided,n_decided,coverage_pct,decision_accuracy_pct,precision_resolved,recall_resolved,f1_resolved,total_saved_steps,total_steps,global_step_save_pct,original_rank,adjusted_rank,rank_change_positive_is_up,saved_input_tokens_est,saved_output_tokens_est,baseline_input_tokens_est,baseline_output_tokens_est,input_token_save_pct_est,output_token_save_pct_est
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-opus-4.6@anthropic,claude-opus-4.6 (anthropic),157,120,76.4331,120,76.4331,0.0,0,1,0,0,1,0,156,1,0.6369,100.0,,,,19,4783,0.3972,1,1,0,95097.0,713.0,11458698.0,244606.0,0.8299,0.2915
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gemini-3.1-pro-preview@Google,gemini-3.1-pro-preview (Google),429,320,74.5921,320,74.5921,0.0,0,21,0,6,21,6,402,27,6.2937,100.0,100.0,100.0,100.0,938,11181,8.3892,2,2,0,3164113.0,21721.0,22076232.0,360411.0,14.3327,6.0267
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5.2-codex@openai,gpt-5.2-codex (openai),416,284,68.2692,284,68.2692,0.0,0,0,0,0,0,0,416,0,0.0,,,,,0,10596,0.0,3,3,0,0.0,0.0,18538656.0,299370.0,0.0,0.0
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-opus-4-6@anthropic,claude-opus-4-6 (anthropic),1123,722,64.2921,700,62.333,-1.959,22,95,0,0,117,0,1006,117,10.4185,81.1966,,0.0,,2831,27199,10.4085,4,4,0,11411980.0,297680.0,57738341.0,2309762.0,19.765,12.8879
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gemini-3-pro-preview@gemini,gemini-3-pro-preview (gemini),445,253,56.8539,253,56.8539,0.0,0,37,0,0,37,0,408,37,8.3146,100.0,,,,518,5939,8.722,5,5,0,2527043.0,96398.0,11170603.0,1305493.0,22.6223,7.384
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,glm-5@z-ai,glm-5 (z-ai),373,211,56.5684,211,56.5684,0.0,0,36,0,0,36,0,337,36,9.6515,100.0,,,,1119,10248,10.9192,6,6,0,6672092.0,182632.0,40773422.0,2042224.0,16.3638,8.9428
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-opus-4-5-20251101@anthropic,claude-opus-4-5-20251101 (anthropic),1310,719,54.8855,712,54.3511,-0.5344,7,73,0,6,80,6,1224,86,6.5649,91.8605,100.0,46.1538,63.1579,3679,44598,8.2492,7,7,0,22000778.0,420013.0,168021866.0,5163871.0,13.094,8.1337
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5.2@openai,gpt-5.2 (openai),443,239,53.9503,237,53.4989,-0.4515,2,17,0,0,19,0,424,19,4.2889,89.4737,,0.0,,127,4124,3.0795,8,8,0,977320.0,55571.0,7511651.0,1323033.0,13.0107,4.2003
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gemini-3-flash-preview@gemini,gemini-3-flash-preview (gemini),444,230,51.8018,228,51.3514,-0.4505,2,50,0,4,52,4,388,56,12.6126,96.4286,100.0,66.6667,80.0,1497,9037,16.5652,9,9,0,12957358.0,317919.0,35171263.0,1904937.0,36.8408,16.6892
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5.1@openai,gpt-5.1 (openai),445,212,47.6404,212,47.6404,0.0,0,4,0,0,4,0,441,4,0.8989,100.0,,,,10,4208,0.2376,10,10,0,30131.0,3544.0,5574977.0,829218.0,0.5405,0.4274
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,claude-4.5-opus,claude-4.5-opus,324,141,43.5185,137,42.284,-1.2346,4,40,0,0,44,0,280,44,13.5802,90.9091,,0.0,,852,5896,14.4505,1,1,0,69142767.0,375480.0,207125456.0,1762150.0,33.3821,21.3081
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,claude-4.5-sonnet-0929,claude-4.5-sonnet-0929,324,125,38.5802,125,38.5802,0.0,0,70,0,0,70,0,254,70,21.6049,100.0,,,,1160,6881,16.858,2,2,0,49760731.0,332542.0,180395544.0,1753843.0,27.5842,18.9608
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gemini-3-pro-preview,gemini-3-pro-preview,324,118,36.4198,118,36.4198,0.0,0,56,0,0,56,0,268,56,17.284,100.0,,,,607,5943,10.2137,3,3,0,23679569.0,87776.0,119566957.0,526557.0,19.8044,16.6698
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,deepseek-3.2-thinking,deepseek-3.2-thinking,324,114,35.1852,111,34.2593,-0.9259,3,83,0,0,86,0,238,86,26.5432,96.5116,,0.0,,3411,13666,24.9598,4,4,0,457334094.0,344169.0,907799100.0,1123507.0,50.3783,30.6335
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gpt-5.1,gpt-5.1,324,108,33.3333,106,32.716,-0.6173,2,9,0,0,11,0,313,11,3.3951,81.8182,,0.0,,91,4714,1.9304,5,5,0,5212255.0,6282.0,125399775.0,533301.0,4.1565,1.1779
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gpt-5,gpt-5,324,99,30.5556,99,30.5556,0.0,0,43,0,0,43,0,281,43,13.2716,100.0,,,,665,5999,11.0852,6,6,0,35716019.0,61005.0,152088873.0,573168.0,23.4837,10.6435
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,claude-4-sonnet-0514,claude-4-sonnet-0514,324,97,29.9383,96,29.6296,-0.3086,1,113,0,0,114,0,210,114,35.1852,99.1228,,0.0,,2188,9184,23.824,7,7,0,101852498.0,736458.0,242945172.0,2053432.0,41.9241,35.8647
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gpt-5-high,gpt-5-high,324,94,29.0123,92,28.3951,-0.6173,2,74,0,0,76,0,248,76,23.4568,97.3684,,0.0,,1084,5314,20.3989,8,8,0,56473608.0,99036.0,138071470.0,471819.0,40.9017,20.9903
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,grok-4,grok-4,320,89,27.8125,89,27.8125,0.0,0,35,0,0,35,0,285,35,10.9375,100.0,,,,563,6649,8.4674,9,9,0,53432819.0,43023.0,228782352.0,488577.0,23.3553,8.8058
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,claude-4.5-haiku-1001,claude-4.5-haiku-1001,324,85,26.2346,85,26.2346,0.0,0,19,0,0,19,0,305,19,5.8642,100.0,,,,320,7406,4.3208,10,10,0,13934312.0,108040.0,221024459.0,2082940.0,6.3044,5.1869
