benchmark,dataset_key,preset,threshold,policy_mode,agent,agent_display,original_total,original_resolved,original_resolve_rate_pct,adjusted_resolved,adjusted_resolve_rate_pct,resolve_change_pp,false_negatives,true_negatives,false_positives,true_positives,decided_failure,decided_success,undecided,n_decided,coverage_pct,decision_accuracy_pct,precision_resolved,recall_resolved,f1_resolved,total_saved_steps,total_steps,global_step_save_pct,original_rank,adjusted_rank,rank_change_positive_is_up,saved_input_tokens_est,saved_output_tokens_est,baseline_input_tokens_est,baseline_output_tokens_est,input_token_save_pct_est,output_token_save_pct_est
SWE-bench Verified,sweverify,locked095,0.95,dual,20250807_mini-v1.7.0_gpt-5-mini,GPT-5-Mini,489,289,59.1002,293,59.9182,0.818,3,60,7,61,63,68,358,131,26.7894,92.3664,89.7059,95.3125,92.4242,930,7600,12.2368,11,11,0,39177600.0,461863.0,159723763.0,2266042.0,24.5283,20.3819
SWE-bench Verified,sweverify,locked095,0.95,dual,20251209_mini-v1.17.2_devstral-small-2512,Devstral-Small,488,274,56.1475,279,57.1721,1.0246,3,88,8,122,91,130,267,221,45.2869,95.0226,93.8462,97.6,95.6863,14090,43086,32.702,12,12,0,646864578.0,4593573.0,1730973755.0,13078969.0,37.37,35.1218
SWE-bench Verified,sweverify,locked095,0.95,dual,20251201_mini-v1.17.1_glm-4.6,GLM-4.6,488,268,54.918,272,55.7377,0.8197,2,84,6,137,86,143,259,229,46.9262,96.5066,95.8042,98.5612,97.1631,8166,24723,33.03,13,13,0,273672134.0,2788021.0,988282044.0,7461927.0,27.6917,37.3633
SWE-bench Verified,sweverify,locked095,0.95,dual,20250822_mini-v1.9.1_glm-4.5,GLM-4.5,487,262,53.7988,271,55.6468,1.848,2,88,11,118,90,129,268,219,44.9692,94.0639,91.4729,98.3333,94.7791,5569,20171,27.6089,14,14,0,151709316.0,1908687.0,431179917.0,6172348.0,35.1847,30.9232
SWE-bench Verified,sweverify,locked095,0.95,dual,20251209_mini-v1.17.2_devstral-2512,Devstral-Large,488,259,53.0738,264,54.0984,1.0246,1,77,6,99,78,105,305,183,37.5,96.1749,94.2857,99.0,96.5854,12149,37349,32.5283,15,15,0,476410205.0,3755622.0,1231738310.0,10449642.0,38.6779,35.9402
SWE-bench Verified,sweverify,locked095,0.95,dual,20250807_mini-v1.7.0_gpt-5-nano,GPT-5-Nano,488,167,34.2213,202,41.3934,7.1721,0,60,35,36,60,71,357,131,26.8443,73.2824,50.7042,100.0,67.2897,4841,19861,24.3744,16,16,0,302886859.0,1754264.0,883286856.0,7462706.0,34.2909,23.5071
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-opus-4.6@anthropic,claude-opus-4.6 (anthropic),157,120,76.4331,120,76.4331,0.0,0,1,0,0,1,0,156,1,0.6369,100.0,,,,19,4783,0.3972,1,1,0,95097.0,713.0,11458698.0,244606.0,0.8299,0.2915
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gemini-3.1-pro-preview@Google,gemini-3.1-pro-preview (Google),429,320,74.5921,320,74.5921,0.0,0,21,0,6,21,6,402,27,6.2937,100.0,100.0,100.0,100.0,938,11181,8.3892,2,2,0,3164113.0,21721.0,22076232.0,360411.0,14.3327,6.0267
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5.2-codex@openai,gpt-5.2-codex (openai),416,284,68.2692,284,68.2692,0.0,0,0,0,0,0,0,416,0,0.0,,,,,0,10596,0.0,3,3,0,0.0,0.0,18538656.0,299370.0,0.0,0.0
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-opus-4-6@anthropic,claude-opus-4-6 (anthropic),1123,722,64.2921,700,62.333,-1.959,22,95,0,0,117,0,1006,117,10.4185,81.1966,,0.0,,2831,27199,10.4085,4,4,0,11411980.0,297680.0,57738341.0,2309762.0,19.765,12.8879
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gemini-3-pro-preview@gemini,gemini-3-pro-preview (gemini),445,253,56.8539,253,56.8539,0.0,0,37,0,0,37,0,408,37,8.3146,100.0,,,,518,5939,8.722,5,5,0,2527043.0,96398.0,11170603.0,1305493.0,22.6223,7.384
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,glm-5@z-ai,glm-5 (z-ai),373,211,56.5684,211,56.5684,0.0,0,36,0,0,36,0,337,36,9.6515,100.0,,,,1119,10248,10.9192,6,6,0,6672092.0,182632.0,40773422.0,2042224.0,16.3638,8.9428
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-opus-4-5-20251101@anthropic,claude-opus-4-5-20251101 (anthropic),1310,719,54.8855,712,54.3511,-0.5344,7,73,0,6,80,6,1224,86,6.5649,91.8605,100.0,46.1538,63.1579,3679,44598,8.2492,7,7,0,22000778.0,420013.0,168021866.0,5163871.0,13.094,8.1337
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5.2@openai,gpt-5.2 (openai),443,239,53.9503,237,53.4989,-0.4515,2,17,0,0,19,0,424,19,4.2889,89.4737,,0.0,,127,4124,3.0795,8,8,0,977320.0,55571.0,7511651.0,1323033.0,13.0107,4.2003
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gemini-3-flash-preview@gemini,gemini-3-flash-preview (gemini),444,230,51.8018,228,51.3514,-0.4505,2,50,0,4,52,4,388,56,12.6126,96.4286,100.0,66.6667,80.0,1497,9037,16.5652,9,9,0,12957358.0,317919.0,35171263.0,1904937.0,36.8408,16.6892
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5.1@openai,gpt-5.1 (openai),445,212,47.6404,212,47.6404,0.0,0,4,0,0,4,0,441,4,0.8989,100.0,,,,10,4208,0.2376,10,10,0,30131.0,3544.0,5574977.0,829218.0,0.5405,0.4274
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,minimax-m2.5@Minimax,minimax-m2.5 (Minimax),411,181,44.0389,181,44.0389,0.0,0,35,0,0,35,0,376,35,8.5158,100.0,,,,768,11993,6.4037,11,11,0,3907956.0,103936.0,48115817.0,1815441.0,8.122,5.7251
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-sonnet-4-5-20250929@anthropic,claude-sonnet-4-5-20250929 (anthropic),1660,727,43.7952,713,42.9518,-0.8434,14,336,0,4,350,4,1306,354,21.3253,96.0452,100.0,22.2222,36.3636,16990,78452,21.6566,12,13,-1,95821528.0,1937716.0,292705632.0,8619056.0,32.7365,22.4818
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5-codex@openai,gpt-5-codex (openai),1030,448,43.4951,447,43.3981,-0.0971,1,118,0,3,119,3,908,122,11.8447,99.1803,100.0,75.0,85.7143,3569,23710,15.0527,13,12,1,17558911.0,595495.0,64403301.0,3406224.0,27.264,17.4826
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5@openai,gpt-5 (openai),1713,718,41.9148,712,41.5645,-0.3503,6,109,0,0,115,0,1598,115,6.7134,94.7826,,0.0,,3712,31459,11.7995,14,14,0,16200312.0,426300.0,61376451.0,3504294.0,26.395,12.1651
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,deepseek-v3.2@deepseek,deepseek-v3.2 (deepseek),373,153,41.0188,153,41.0188,0.0,0,19,0,0,19,0,354,19,5.0938,100.0,,,,452,8604,5.2534,15,15,0,2570073.0,104221.0,23679700.0,1659739.0,10.8535,6.2794
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-opus-4-1-20250805@anthropic,claude-opus-4-1-20250805 (anthropic),1692,640,37.8251,642,37.9433,0.1182,0,174,2,54,174,56,1462,230,13.5934,99.1304,96.4286,100.0,98.1818,7679,66013,11.6326,16,16,0,27681490.0,663375.0,184401979.0,6418496.0,15.0115,10.3354
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,minimax-m2.1@minimax,minimax-m2.1 (minimax),437,163,37.2998,163,37.2998,0.0,0,11,0,0,11,0,426,11,2.5172,100.0,,,,370,15543,2.3805,17,17,0,995010.0,16072.0,40019139.0,680604.0,2.4863,2.3614
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5.1-codex@openai,gpt-5.1-codex (openai),445,164,36.8539,164,36.8539,0.0,0,50,0,1,50,1,394,51,11.4607,100.0,100.0,100.0,100.0,1316,9033,14.5688,18,18,0,7862416.0,260460.0,29339568.0,1776003.0,26.798,14.6655
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,moonshotai/Kimi-K2-Thinking@together_ai,moonshotai/Kimi-K2-Thinking (together_ai),888,318,35.8108,318,35.8108,0.0,0,142,0,0,142,0,746,142,15.991,100.0,,,,4738,29574,16.0208,19,19,0,98276788.0,1613825.0,343340617.0,9348898.0,28.6237,17.2622
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,accounts/fireworks/models/minimax-m2@fireworks_ai,accounts/fireworks/models/minimax-m2 (fireworks_ai),902,276,30.5987,276,30.5987,0.0,0,0,0,12,0,12,890,12,1.3304,100.0,100.0,100.0,100.0,12,31782,0.0378,20,20,0,43767.0,3317.0,353209989.0,7360817.0,0.0124,0.0451
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,minimax-m2.1@openai,minimax-m2.1 (openai),437,130,29.7483,130,29.7483,0.0,0,53,0,0,53,0,384,53,12.1281,100.0,,,,1371,12809,10.7034,21,21,0,8393123.0,317053.0,68538126.0,2916771.0,12.2459,10.87
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,moonshotai/Kimi-K2-Instruct-0905@together_ai,moonshotai/Kimi-K2-Instruct-0905 (together_ai),1711,494,28.872,495,28.9305,0.0584,0,240,1,14,240,15,1456,255,14.9036,99.6078,93.3333,100.0,96.5517,10683,100906,10.5871,22,22,0,155670907.0,2180828.0,892353433.0,16572882.0,17.445,13.159
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5-mini@openai,gpt-5-mini (openai),1710,474,27.7193,473,27.6608,-0.0585,1,112,0,5,113,5,1592,118,6.9006,99.1525,100.0,83.3333,90.9091,4417,35086,12.5891,23,23,0,21537044.0,521512.0,92409667.0,3646187.0,23.3061,14.3029
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,claude-haiku-4-5-20251001@anthropic,claude-haiku-4-5-20251001 (anthropic),1663,439,26.3981,450,27.0595,0.6615,0,163,11,53,163,64,1436,227,13.65,95.1542,82.8125,100.0,90.5983,8281,57828,14.3201,24,24,0,53054931.0,1232663.0,252101477.0,7565894.0,21.0451,16.2924
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,grok-4-0709@xai,grok-4-0709 (xai),1275,336,26.3529,336,26.3529,0.0,0,81,0,0,81,0,1194,81,6.3529,100.0,,,,1778,31020,5.7318,25,25,0,5380922.0,167532.0,65033679.0,3515876.0,8.2741,4.765
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8 (together_ai),1732,444,25.6351,444,25.6351,0.0,0,239,0,5,239,5,1488,244,14.0878,100.0,100.0,100.0,100.0,11918,107622,11.0739,26,26,0,126359887.0,1748508.0,887269751.0,14410730.0,14.2414,12.1334
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gemini-2.5-pro@gemini,gemini-2.5-pro (gemini),1671,417,24.9551,416,24.8953,-0.0598,10,348,9,17,358,26,1287,384,22.9803,95.0521,65.3846,62.963,64.1509,12685,48562,26.1212,27,27,0,51627253.0,1220250.0,129634448.0,5245874.0,39.8253,23.2611
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,accounts/fireworks/models/glm-4p6@fireworks_ai,accounts/fireworks/models/glm-4p6 (fireworks_ai),904,224,24.7788,224,24.7788,0.0,0,176,0,39,176,39,689,215,23.7832,100.0,100.0,100.0,100.0,6271,37926,16.5348,28,28,0,131884622.0,1970233.0,486524181.0,10245620.0,27.1075,19.23
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,grok-code-fast-1@xai,grok-code-fast-1 (xai),880,177,20.1136,177,20.1136,0.0,0,51,0,0,51,0,829,51,5.7955,100.0,,,,854,13954,6.1201,29,29,0,3419451.0,118010.0,34271364.0,2410818.0,9.9776,4.895
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gemini-2.5-flash@gemini,gemini-2.5-flash (gemini),1657,291,17.5619,291,17.5619,0.0,0,120,0,3,120,3,1534,123,7.4231,100.0,100.0,100.0,100.0,4514,47022,9.5998,30,30,0,20827349.0,398381.0,144672987.0,4832607.0,14.3962,8.2436
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,openai/gpt-oss-120b@together_ai,openai/gpt-oss-120b (together_ai),1808,304,16.8142,303,16.7588,-0.0553,1,80,0,0,81,0,1727,81,4.4801,98.7654,,0.0,,847,19200,4.4115,31,31,0,8291593.0,333016.0,91821631.0,6865752.0,9.0301,4.8504
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,gpt-5-nano@openai,gpt-5-nano (openai),1718,161,9.3714,161,9.3714,0.0,0,134,0,0,134,0,1584,134,7.7998,100.0,,,,5488,40869,13.4283,32,32,0,42305119.0,861930.0,156289242.0,5308675.0,27.0685,16.2363
TerminalBench,terminalbench,rich_af_gold_locked095,0.95,dual,openai/gpt-oss-20b@together_ai,openai/gpt-oss-20b (together_ai),1816,58,3.1938,58,3.1938,0.0,0,7,0,0,7,0,1809,7,0.3855,100.0,,,,257,9374,2.7416,33,33,0,6332408.0,79803.0,38765961.0,4029870.0,16.335,1.9803
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,claude-4.5-opus,claude-4.5-opus,324,141,43.5185,137,42.284,-1.2346,4,40,0,0,44,0,280,44,13.5802,90.9091,,0.0,,852,5896,14.4505,1,1,0,69142767.0,375480.0,207125456.0,1762150.0,33.3821,21.3081
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,claude-4.5-sonnet-0929,claude-4.5-sonnet-0929,324,125,38.5802,125,38.5802,0.0,0,70,0,0,70,0,254,70,21.6049,100.0,,,,1160,6881,16.858,2,2,0,49760731.0,332542.0,180395544.0,1753843.0,27.5842,18.9608
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gemini-3-pro-preview,gemini-3-pro-preview,324,118,36.4198,118,36.4198,0.0,0,56,0,0,56,0,268,56,17.284,100.0,,,,607,5943,10.2137,3,3,0,23679569.0,87776.0,119566957.0,526557.0,19.8044,16.6698
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,deepseek-3.2-thinking,deepseek-3.2-thinking,324,114,35.1852,111,34.2593,-0.9259,3,83,0,0,86,0,238,86,26.5432,96.5116,,0.0,,3411,13666,24.9598,4,4,0,457334094.0,344169.0,907799100.0,1123507.0,50.3783,30.6335
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gpt-5.1,gpt-5.1,324,108,33.3333,106,32.716,-0.6173,2,9,0,0,11,0,313,11,3.3951,81.8182,,0.0,,91,4714,1.9304,5,5,0,5212255.0,6282.0,125399775.0,533301.0,4.1565,1.1779
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gpt-5,gpt-5,324,99,30.5556,99,30.5556,0.0,0,43,0,0,43,0,281,43,13.2716,100.0,,,,665,5999,11.0852,6,6,0,35716019.0,61005.0,152088873.0,573168.0,23.4837,10.6435
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,claude-4-sonnet-0514,claude-4-sonnet-0514,324,97,29.9383,96,29.6296,-0.3086,1,113,0,0,114,0,210,114,35.1852,99.1228,,0.0,,2188,9184,23.824,7,7,0,101852498.0,736458.0,242945172.0,2053432.0,41.9241,35.8647
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gpt-5-high,gpt-5-high,324,94,29.0123,92,28.3951,-0.6173,2,74,0,0,76,0,248,76,23.4568,97.3684,,0.0,,1084,5314,20.3989,8,8,0,56473608.0,99036.0,138071470.0,471819.0,40.9017,20.9903
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,grok-4,grok-4,320,89,27.8125,89,27.8125,0.0,0,35,0,0,35,0,285,35,10.9375,100.0,,,,563,6649,8.4674,9,9,0,53432819.0,43023.0,228782352.0,488577.0,23.3553,8.8058
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,claude-4.5-haiku-1001,claude-4.5-haiku-1001,324,85,26.2346,85,26.2346,0.0,0,19,0,0,19,0,305,19,5.8642,100.0,,,,320,7406,4.3208,10,10,0,13934312.0,108040.0,221024459.0,2082940.0,6.3044,5.1869
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,deepseek-v3.2-exp,deepseek-v3.2-exp,324,65,20.0617,65,20.0617,0.0,0,23,0,0,23,0,301,23,7.0988,100.0,,,,460,8563,5.3719,11,11,0,15734719.0,83935.0,282106259.0,1557607.0,5.5776,5.3887
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,glm-4.6,glm-4.6,324,61,18.8272,61,18.8272,0.0,0,81,0,0,81,0,243,81,25.0,100.0,,,,1632,9343,17.4676,12,12,0,72079046.0,346388.0,222880391.0,1270688.0,32.3398,27.2599
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,grok-4-fast,grok-4-fast,320,60,18.75,60,18.75,0.0,0,57,0,0,57,0,263,57,17.8125,100.0,,,,497,5356,9.2793,13,13,0,22175198.0,78357.0,120042614.0,647218.0,18.4728,12.1067
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,grok-code-fast-1,grok-code-fast-1,320,60,18.75,59,18.4375,-0.3125,1,81,0,0,82,0,238,82,25.625,98.7805,,0.0,,1330,6680,19.9102,13,14,-1,44720373.0,181989.0,121791944.0,764814.0,36.7187,23.7952
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,o3,o3,324,55,16.9753,55,16.9753,0.0,0,52,0,0,52,0,272,52,16.0494,100.0,,,,818,6169,13.2598,15,15,0,17335447.0,52702.0,82696094.0,394100.0,20.9628,13.3727
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,o4-mini,o4-mini,324,48,14.8148,48,14.8148,0.0,0,22,0,0,22,0,302,22,6.7901,100.0,,,,334,5618,5.9452,16,16,0,8294549.0,13716.0,89322653.0,273696.0,9.2861,5.0114
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gpt-5-mini,gpt-5-mini,324,47,14.5062,47,14.5062,0.0,0,67,0,0,67,0,257,67,20.679,100.0,,,,1027,6233,16.4768,17,17,0,45881957.0,91895.0,244768464.0,545103.0,18.745,16.8583
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,qwen-3-coder,qwen-3-coder,324,47,14.5062,47,14.5062,0.0,0,58,0,0,58,0,266,58,17.9012,100.0,,,,1112,9132,12.177,17,17,0,36899488.0,212062.0,178962338.0,1291397.0,20.6186,16.4211
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,kimi-k2-0905,kimi-k2-0905,324,42,12.963,41,12.6543,-0.3086,1,53,0,0,54,0,270,54,16.6667,98.1481,,0.0,,1072,8183,13.1003,19,19,0,44538106.0,293256.0,177814193.0,1393035.0,25.0476,21.0516
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gemini-2.5-pro,gemini-2.5-pro,324,34,10.4938,34,10.4938,0.0,0,25,0,0,25,0,299,25,7.716,100.0,,,,631,8896,7.0931,20,20,0,29251129.0,215353.0,205572622.0,1953096.0,14.2291,11.0262
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,minimax-m2,minimax-m2,324,33,10.1852,33,10.1852,0.0,0,63,0,0,63,0,261,63,19.4444,100.0,,,,661,5780,11.436,21,21,0,25937111.0,248396.0,175331199.0,1752469.0,14.7932,14.1741
Toolathlon,toolathlon,rich_af_gold_locked095,0.95,dual,gemini-2.5-flash,gemini-2.5-flash,324,12,3.7037,10,3.0864,-0.6173,2,23,0,0,25,0,299,25,7.716,92.0,,0.0,,206,2957,6.9665,22,22,0,4975418.0,86067.0,53534965.0,385538.0,9.2938,22.3239
